location,latitude,longitude,buffer_m,visibility,true_coordinates,comments,internal_wildtrax_id
1056-4,,,5500,Visible,t,,513901
1056-5,,,5500,Visible,t,,513902
1056-6,,,5500,Visible,t,,513903
1056-7,,,5500,Visible,t,,513904
1056-8,,,5500,Visible,t,,513905
1056-9,,,5500,Visible,t,,513906
1057-1,,,5500,Visible,t,,513907
1057-2,,,5500,Visible,t,,513908
1057-3,,,5500,Visible,t,,513909
1057-4,,,5500,Visible,t,,513910
1057-5,,,5500,Visible,t,,513911
1057-6,53.477195,-111.518913,5500,Visible,t,,513912
1057-7,,,5500,Visible,t,,513913
1057-8,,,5500,Visible,t,,513914
1057-9,,,5500,Visible,t,,513915
1058-1,,,5500,Visible,t,,513916
1058-2,,,5500,Visible,t,,513918
1058-3,,,5500,Visible,t,,513917
1058-4,,,5500,Visible,t,,513920
1058-5,,,5500,Visible,t,,513919
1058-6,,,5500,Visible,t,,513921
1058-7,,,5500,Visible,t,,513922
1058-8,,,5500,Visible,t,,513923
1058-9,,,5500,Visible,t,,513924
1068-1,,,5500,Visible,t,,509744
1068-2,,,5500,Visible,t,,509745
1068-3,,,5500,Visible,t,,509746
1068-4,,,5500,Visible,t,,509747
1068-5,,,5500,Visible,t,,509748
1068-6,,,5500,Visible,t,,509749
1068-7,,,5500,Visible,t,,509750
1068-8,,,5500,Visible,t,,509751
1068-9,,,5500,Visible,t,,509752
1069-1,,,5500,Visible,t,,509753
1069-2,,,5500,Visible,t,,509754
1069-3,,,5500,Visible,t,,509755
1069-4,,,5500,Visible,t,,509756
1069-5,,,5500,Visible,t,,509757
1069-6,,,5500,Visible,t,,509758
1069-7,,,5500,Visible,t,,509759
1069-8,,,5500,Visible,t,,509760
1069-9,,,5500,Visible,t,,509761
1070-1,,,5500,Visible,t,,509762
1070-2,,,5500,Visible,t,,509763
1070-3,,,5500,Visible,t,,509764
1070-4,,,5500,Visible,t,,509765
1070-5,,,5500,Visible,t,,509766
1070-6,,,5500,Visible,t,,509767
1070-7,,,5500,Visible,t,,509768
1070-8,,,5500,Visible,t,,509769
1070-9,,,5500,Visible,t,,509770
1071-1,,,5500,Visible,t,,513925
1071-2,,,5500,Visible,t,,513926
1071-3,,,5500,Visible,t,,513927
1071-4,,,5500,Visible,t,,513928
1071-5,,,5500,Visible,t,,513929
1071-6,,,5500,Visible,t,,513930
1071-7,,,5500,Visible,t,,513931
1071-8,,,5500,Visible,t,,513933
1071-9,,,5500,Visible,t,,513932
1072-1,,,5500,Visible,t,,513934
1072-2,,,5500,Visible,t,,513935
1072-3,,,5500,Visible,t,,513936
1072-4,,,5500,Visible,t,,513937
1072-5,,,5500,Visible,t,,513938
1072-6,,,5500,Visible,t,,513939
1072-7,,,5500,Visible,t,,513940
1072-8,,,5500,Visible,t,,513941
1072-9,,,5500,Visible,t,,513943
1073-1,,,5500,Visible,t,,513942
1073-2,,,5500,Visible,t,,513944
1073-3,,,5500,Visible,t,,513946
1073-4,,,5500,Visible,t,,513945
1073-5,,,5500,Visible,t,,513948
1073-6,,,5500,Visible,t,,513947
1073-7,,,5500,Visible,t,,513949
1073-8,,,5500,Visible,t,,513951
1073-9,,,5500,Visible,t,,513950
1077-1,,,5500,Visible,t,,525513
1077-2,,,5500,Visible,t,,525514
1077-3,,,5500,Visible,t,,525515
1077-4,,,5500,Visible,t,,525516
1077-5,,,5500,Visible,t,,525517
1077-6,,,5500,Visible,t,,525518
1077-7,,,5500,Visible,t,,525519
1077-8,,,5500,Visible,t,,525520
1077-9,,,5500,Visible,t,,525521
1078-1,,,5500,Visible,t,,525522
1078-2,,,5500,Visible,t,,525523
1078-3,,,5500,Visible,t,,525524
1078-4,,,5500,Visible,t,,525525
1078-5,,,5500,Visible,t,,525526
1078-6,,,5500,Visible,t,,525527
1078-7,,,5500,Visible,t,,525528
1078-8,,,5500,Visible,t,,525529
1078-9,,,5500,Visible,t,,525530
1079-1,,,5500,Visible,t,,525531
1079-2,,,5500,Visible,t,,525532
1079-3,,,5500,Visible,t,,525533
1079-4,,,5500,Visible,t,,525534
1079-5,,,5500,Visible,t,,525535
1079-6,,,5500,Visible,t,,525536
1079-7,,,5500,Visible,t,,525537
1079-8,,,5500,Visible,t,,525538
1079-9,,,5500,Visible,t,,525539
1084-1,,,5500,Visible,t,,511157
1084-2,,,5500,Visible,t,,511158
1084-3,,,5500,Visible,t,,511159
